id;title;price;promo_price;url
3193542;Машина Hot Wheels Monster Action Street Creeper 51203;2 499 ₽;1 389 ₽;https://www.detmir.ru/product/index/id/3193542/
3194026;Машина Bruder Roadster спортивная 03-480;4 999 ₽;1 979,01 ₽;https://www.detmir.ru/product/index/id/3194026/
2510431;Транспорт B.Battat Самосвал WH1000Z;5 999 ₽;3 229 ₽;https://www.detmir.ru/product/index/id/2510431/
3672239;Игровой набор Hot Wheels Spin Racer Огненный Фантом с диском 12 см красный Hot Wheels;1 495 ₽;999 ₽;https://www.detmir.ru/product/index/id/3672239/
3638508;Игровой набор Hot Wheels Spin Racer Синяя Молния с диском 16 см коробка синяя Hot Wheels;1 937 ₽;1 157 ₽;https://www.detmir.ru/product/index/id/3638508/
3193544;Машина Hot Wheels Blazing Cruiser Quick N sik Зеленые колеса 51200;999 ₽;529 ₽;https://www.detmir.ru/product/index/id/3193544/
2865261;Трактор Mobicaro Сельхозтехника инерционная;129 ₽;71,92 ₽;https://www.detmir.ru/product/index/id/2865261/
1813951;Экскаватор Bruder CAT гусеничный с отвалом 02-456;3 599 ₽;3 057 ₽;https://www.detmir.ru/product/index/id/1813951/
3088534;Автомобиль с платформой Zebratoys Active Синий;1 339 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3088534/
3682480;Машина Bruder Land Rover полицейский с прицепом 02-588;9 149 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3682480/
3294829;Грузовик Dickie инкасатор 3756005;3 999 ₽;2 999 ₽;https://www.detmir.ru/product/index/id/3294829/
2551121;Транспорт B.Battat Мини самосвал WH1006Z;1 499 ₽;749 ₽;https://www.detmir.ru/product/index/id/2551121/
2993423;Машинка Mobicaro Профи Пожарная;1 299 ₽;769 ₽;https://www.detmir.ru/product/index/id/2993423/
3132615;Игрушка Dickie Мусоровоз 3306006;2 399 ₽;1 632,51 ₽;https://www.detmir.ru/product/index/id/3132615/
3153455;Танк Global Bros YS176676;129 ₽;69,56 ₽;https://www.detmir.ru/product/index/id/3153455/
3430145;Машина Технопарк Газель Next спецтранспорт 298764;1 489 ₽;850,41 ₽;https://www.detmir.ru/product/index/id/3430145/
